Likely_entry_Bank_Name,Mail_Count,Mail_Amount,SQL_Count,SQL_Amount,Err2_Count,Err2_Amount,BKDATE
Deluxe,6396,1609328.9,6393,1591256.31,6396,1591256.31,2026-03-12
Mellon Bank,1583,357663.28,1573,351949.2,1583,351949.2,2026-03-12
Wells Fargo,7086,1364177.6,7085,1364060.55,7086,1364060.55,2026-03-12
WADS,134,16499.58,134,16499.58,134,16499.58,2026-03-11
CMI GROUP,8,1068.23,8,1068.23,8,1068.23,2026-03-12
CCC Group,5,471.8,5,471.8,5,471.8,2026-03-12
Complete Recovery,1,337.9,1,337.9,1,337.9,2026-03-11
Credence Resource Management,100,18416.48,100,18416.48,100,18416.48,2026-03-12
Hudson,3,301.96,3,301.96,3,301.96,2026-03-12
Sunrise,38,4533.55,35,4231.59,38,4231.59,2026-03-12
